Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,3,Albania,5510,Production,388,Tomatoes,2018,2018,tonnes,288626,,Official data
QC,Crops,4,Algeria,5510,Production,388,Tomatoes,2018,2018,tonnes,1309745,,Official data
QC,Crops,5,American Samoa,5510,Production,388,Tomatoes,2018,2018,tonnes,82,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,388,Tomatoes,2018,2018,tonnes,16842,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,388,Tomatoes,2018,2018,tonnes,511,Im,FAO data based on imputation methodology
QC,Crops,9,Argentina,5510,Production,388,Tomatoes,2018,2018,tonnes,653485,Im,FAO data based on imputation methodology
QC,Crops,1,Armenia,5510,Production,388,Tomatoes,2018,2018,tonnes,138124,,Official data
QC,Crops,10,Australia,5510,Production,388,Tomatoes,2018,2018,tonnes,386376,,Official data
QC,Crops,11,Austria,5510,Production,388,Tomatoes,2018,2018,tonnes,58154,,Official data
QC,Crops,52,Azerbaijan,5510,Production,388,Tomatoes,2018,2018,tonnes,609179,,Official data
QC,Crops,12,Bahamas,5510,Production,388,Tomatoes,2018,2018,tonnes,5979,Im,FAO data based on imputation methodology
QC,Crops,13,Bahrain,5510,Production,388,Tomatoes,2018,2018,tonnes,4114,Im,FAO data based on imputation methodology
QC,Crops,16,Bangladesh,5510,Production,388,Tomatoes,2018,2018,tonnes,385038,,Official data
QC,Crops,14,Barbados,5510,Production,388,Tomatoes,2018,2018,tonnes,706,,Official data
QC,Crops,57,Belarus,5510,Production,388,Tomatoes,2018,2018,tonnes,284672,,Official data
QC,Crops,255,Belgium,5510,Production,388,Tomatoes,2018,2018,tonnes,258680,,Official data
QC,Crops,23,Belize,5510,Production,388,Tomatoes,2018,2018,tonnes,2121,,Official data
QC,Crops,53,Benin,5510,Production,388,Tomatoes,2018,2018,tonnes,253150,,Official data
QC,Crops,17,Bermuda,5510,Production,388,Tomatoes,2018,2018,tonnes,135,Im,FAO data based on imputation methodology
QC,Crops,18,Bhutan,5510,Production,388,Tomatoes,2018,2018,tonnes,393,Im,FAO data based on imputation methodology
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,388,Tomatoes,2018,2018,tonnes,64715,,Official data
